Tên ng__i bán;Merchant ID;Tên c_a hàng;Mã s_ c_a hàng;C_p nh_t vào;Ngày t_o;Danh m_c;Tài kho_n nh_n / Ngu_n ti_n;Danh m_c con;Tr_ng thái;Mã giao d_ch;Mã giao d_ch _ã ___c liên k_t;Mã giao d_ch __i tác 1;Mã giao d_ch __i tác 2;Mã __n hàng dài;Mã __n hàng ng_n ;Mã __t hàng;Kênh __t hàng;Lo_i __n hàng;Mã máy giao d_ch;Kênh thanh toán ;Lo_i _u _ãi;Phí d_ch v_ Grab (%);H_ s_ _i_m;_i_m _ã nh_n;Mã giao d_ch ;Ngày chuy_n kho_n;S_ ti_n;Thu_ __n hàng;Phí __ gói mang v_;Phí dành cho quán ch_a là thành viên;Phí d_ch v_ c_a quán;_u _ãi;Gi_m giá (Quán tài tr_);Gi_m phí giao hàng (Quán tài tr_);Phí giao hàng (Quán online trên Grab);Phí giao hàng  (___c giao b_i quán);Phí giao hàng GrabExpress ;Doanh thu ròng;MDR ròng;Thu_ MDR;Phí cho Grab;Chi_t kh_u giao hàng;Chi_t kh_u t_ các kênh bán hàng;Chi_t kh_u __n hàng;Chi_t kh_u cho GrabFood / GrabMart ;GrabKitchen Commission;Các kho_n chi_t kh_u khác cho GrabKitchen;Thu_ t_i ngu_n;VAT Amount;PIT Amount;T_ng c_ng;Thu_ trên ti_n chi_t kh_u cho GrabFood / GrabMart, _i_u ch_nh, Qu_ng cáo;Thu_ trên MDR (%);Chi_t kh_u giao hàng (%);Chi_t kh_u t_ các kênh bán hàng (%);Chi_t kh_u __n hàng (%);Thu_ trên t_ng chi_t kh_u cho GrabKitchen;L_ do h_y;H_y b_i ;L_ do hoàn ti_n ;Mô t_;Nhóm s_ c_;Bí danh s_ c_;M_t hàng b_ _nh h__ng;Liên k_t khi_u n_i;Tình tr_ng kháng ngh_
XÓM GÀ _ MU_I POPPY V_N PHÚ VICTORIA HÀ _ÔNG;7518bef0-1b9c-4c38-aa42-7efc976edd01;XÓM GÀ _ MU_I POPPY V_N PHÚ VICTORIA HÀ _ÔNG;4e6ab81a-6344-455a-9c25-55614c9f743a;23 Mar 2026 11:04 PM;23 Mar 2026 10:33 PM;Payment ;;;Transferred;2603231393tuVND00001000X2018PFPS;;;;001164397971-C74CTABJDFBFV2;GF-572;A-94N4IGCWWGEHAV;GrabFood app & web;;;;;;;;SVNOA4OWPBBY;24 Mar 2026 5:59 AM;79000;0;0;;;;0;0;;0;0;79000;;;;0;-19385;;0;0;0;0;-2370;-1185;56060;-1436;;;;;0;;;;;;;;;
XÓM GÀ _ MU_I POPPY V_N PHÚ VICTORIA HÀ _ÔNG;7518bef0-1b9c-4c38-aa42-7efc976edd01;XÓM GÀ _ MU_I POPPY V_N PHÚ VICTORIA HÀ _ÔNG;4e6ab81a-6344-455a-9c25-55614c9f743a;23 Mar 2026 6:47 PM;23 Mar 2026 6:28 PM;Payment ;;;Transferred;2603231393tuVND00009000JWU049GZ7;;;;001662023840-C74CNXX2VX2XNN;GF-102;A-94ME39UGX7B9AV;GrabFood app & web;;;;;;;;SVNOA4OWPBBY;24 Mar 2026 5:59 AM;162900;0;0;;;;0;0;;0;0;162900;;;;0;-39972;;0;0;0;0;-4887;-2444;115597;-2961;;;;;0;;;;;;;;;
