Tên người bán;Merchant ID;Tên cửa hàng;Mã số cửa hàng;Cập nhật vào;Ngày tạo;Danh mục;Tài khoản nhận / Nguồn tiền;Danh mục con;Trạng thái;Mã giao dịch;Mã giao dịch đã được liên kết;Mã giao dịch đối tác 1;Mã giao dịch đối tác 2;Mã đơn hàng dài;Mã đơn hàng ngắn ;Mã đặt hàng;Kênh đặt hàng;Loại đơn hàng;Mã máy giao dịch;Kênh thanh toán ;Loại ưu đãi;Phí dịch vụ Grab (%);Hệ số điểm;Điểm đã nhận;Mã giao dịch ;Ngày chuyển khoản;Số tiền;Thuế đơn hàng;Phí đồ gói mang về;Phí dành cho quán chưa là thành viên;Phí dịch vụ của quán;Ưu đãi;Giảm giá (Quán tài trợ);Giảm phí giao hàng (Quán tài trợ);Phí giao hàng (Quán online trên Grab);Phí giao hàng  (Được giao bởi quán);Phí giao hàng GrabExpress ;Doanh thu ròng;MDR ròng;Thuế MDR;Phí cho Grab;Chiết khấu giao hàng;Chiết khấu từ các kênh bán hàng;Chiết khấu đơn hàng;Chiết khấu cho GrabFood / GrabMart ;GrabKitchen Commission;Các khoản chiết khấu khác cho GrabKitchen;Thuế tại nguồn;VAT Amount;PIT Amount;Tổng cộng;Thuế trên tiền chiết khấu cho GrabFood / GrabMart, Điều chỉnh, Quảng cáo;Thuế trên MDR (%);Chiết khấu giao hàng (%);Chiết khấu từ các kênh bán hàng (%);Chiết khấu đơn hàng (%);Thuế trên tổng chiết khấu cho GrabKitchen;Lý do hủy;Hủy bởi ;Lý do hoàn tiền ;Mô tả;Nhóm sự cố;Bí danh sự cố;Mặt hàng bị ảnh hưởng;Liên kết khiếu nại;Tình trạng kháng nghị
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG;7518bef0-1b9c-4c38-aa42-7efc976edd01;XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG;4e6ab81a-6344-455a-9c25-55614c9f743a;23 Mar 2026 11:04 PM;23 Mar 2026 10:33 PM;Payment ;;;Transferred;2603231393tuVND00001000X2018PFPS;;;;001164397971-C74CTABJDFBFV2;GF-572;A-94N4IGCWWGEHAV;GrabFood app & web;;;;;;;;SVNOA4OWPBBY;24 Mar 2026 5:59 AM;79000;0;0;;;;0;0;;0;0;79000;;;;0;-19385;;0;0;0;0;-2370;-1185;56060;-1436;;;;;0;;;;;;;;;
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG;7518bef0-1b9c-4c38-aa42-7efc976edd01;XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG;4e6ab81a-6344-455a-9c25-55614c9f743a;23 Mar 2026 6:47 PM;23 Mar 2026 6:28 PM;Payment ;;;Transferred;2603231393tuVND00009000JWU049GZ7;;;;001662023840-C74CNXX2VX2XNN;GF-102;A-94ME39UGX7B9AV;GrabFood app & web;;;;;;;;SVNOA4OWPBBY;24 Mar 2026 5:59 AM;162900;0;0;;;;0;0;;0;0;162900;;;;0;-39972;;0;0;0;0;-4887;-2444;115597;-2961;;;;;0;;;;;;;;;
