STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1,31036-423037582,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,31/03/2026 12:44:46,"115,800",0,0,0,"28,429","5,211","82,160"
2,31036-480459915,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,31/03/2026 13:50:32,"108,900",0,0,0,"26,735","4,901","77,265"
3,31036-722545608,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,31/03/2026 20:57:11,"79,000",0,0,0,"19,395","3,555","56,051"
4,31036-763989801,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,31/03/2026 21:53:38,"300,800",0,0,0,"73,846","13,536","213,418"
5,31036-770418350,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,31/03/2026 21:53:43,"109,000",0,0,0,"26,760","4,905","77,336"
