STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1,20036-391900410,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,20/03/2026 11:27:28,"109,000",0,0,0,"26,760","4,905","77,336"
2,20036-395038331,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,20/03/2026 11:38:29,"79,000",0,0,0,"19,395","3,555","56,051"
3,20036-585679131,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,20/03/2026 16:52:02,"79,000",0,0,0,"19,395","3,555","56,051"
4,20036-604631634,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,20/03/2026 17:02:53,"160,900",0,0,0,"39,501","7,241","114,159"
5,20036-706180339,10387503,Xóm Gà Ủ Muối Poppy - Văn Phú Victoria,20/03/2026 20:17:57,"108,900",0,0,0,"26,735","4,901","77,265"
