Tên người bán,Merchant ID,Tên cửa hàng,Mã số cửa hàng,Cập nhật vào,Ngày tạo,Loại,Danh mục,Danh mục con,Trạng thái,Mã giao dịch,Mã giao dịch đã được liên kết,Mã giao dịch đối tác 1,Mã giao dịch đối tác 2,Mã đơn hàng dài,Mã đơn hàng ngắn ,Mã đặt hàng,Kênh đặt hàng,Loại đơn hàng,Phương thức thanh toán ,Tài khoản nhận / Nguồn tiền,Mã máy giao dịch,Kênh thanh toán ,Loại ưu đãi,Phí dịch vụ Grab (%),Hệ số điểm,Điểm đã nhận,Mã giao dịch ,Ngày chuyển khoản,Số tiền,Thuế đơn hàng,Phí đồ gói mang về,Phí dành cho quán chưa là thành viên,Phí dịch vụ của quán,Ưu đãi,Giảm giá (Quán tài trợ),Giảm phí giao hàng (Quán tài trợ),Phí giao hàng (Quán online trên Grab),Phí giao hàng  (Được giao bởi quán),Phí giao hàng GrabExpress ,Doanh thu ròng,MDR ròng,Thuế MDR,Phí cho Grab,Phí tiếp thị thành công,Chiết khấu giao hàng,Chiết khấu từ các kênh bán hàng,Chiết khấu đơn hàng,Chiết khấu cho GrabFood / GrabMart ,GrabKitchen Commission,Các khoản chiết khấu khác cho GrabKitchen,Thuế tại nguồn,VAT Amount,PIT Amount,Tổng cộng,Thuế trên MDR (%),Chiết khấu giao hàng (%),Chiết khấu từ các kênh bán hàng (%),Chiết khấu đơn hàng (%),"Thuế trên tiền chiết khấu cho GrabFood / GrabMart, Điều chỉnh, Quảng cáo",Thuế trên tổng chiết khấu cho GrabKitchen,Lý do hủy,Hủy bởi ,Lý do hoàn tiền ,Mô tả,Nhóm sự cố,Bí danh sự cố,Mặt hàng bị ảnh hưởng,Liên kết khiếu nại,Tình trạng kháng nghị
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,7518bef0-1b9c-4c38-aa42-7efc976edd01,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,4e6ab81a-6344-455a-9c25-55614c9f743a,1 Mar 2026 9:46 PM,1 Mar 2026 9:12 PM,GrabFood,Thanh toán ,,Đã thanh toán,2603011393tuVND000030001XH5MAPCD,,,,001306121996-C73DRT3YJ62XHE,GF-333,A-9XS8N3HGWVV6AV,GrabFood app & web,,Tiền mặt,,,,,,,,SVNG3OSJIME7,2 Mar 2026 6:36 AM,148800,0,0,,,,0,0,,0,0,148800,,,,0,0,-36512,,0,0,0,0,-4464,-2232,105592,,,,,-2705,0,,,,,,,,,
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,7518bef0-1b9c-4c38-aa42-7efc976edd01,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,4e6ab81a-6344-455a-9c25-55614c9f743a,1 Mar 2026 8:39 PM,1 Mar 2026 8:14 PM,GrabFood,Thanh toán ,,Đã thanh toán,2603011393tuVND00004000EOGVMATJI,,,,001640353371-C73DRCDBE2AFNA,GF-381,A-9XS3DF2W2TX3AV,GrabFood app & web,,Tiền mặt,,,,,,,,SVNG3OSJIME7,2 Mar 2026 6:36 AM,79900,0,0,,,,0,0,,0,0,79900,,,,0,0,-19606,,0,0,0,0,-2397,-1199,56698,,,,,-1452,0,,,,,,,,,
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,7518bef0-1b9c-4c38-aa42-7efc976edd01,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,4e6ab81a-6344-455a-9c25-55614c9f743a,1 Mar 2026 7:32 PM,1 Mar 2026 7:05 PM,GrabFood,Thanh toán ,,Đã thanh toán,2603011393tuVND000020007MWRMCR7D,,,,001086351640-C73DN34KJ3JTNE,GF-489,A-9XRT4MDWW7XAAV,GrabFood app & web,,Tiền mặt,,,,,,,,SVNG3OSJIME7,2 Mar 2026 6:36 AM,101900,0,0,,,,0,0,,0,0,101900,,,,0,0,-25004,,0,0,0,0,-3057,-1529,72310,,,,,-1852,0,,,,,,,,,
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,7518bef0-1b9c-4c38-aa42-7efc976edd01,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,4e6ab81a-6344-455a-9c25-55614c9f743a,1 Mar 2026 4:48 PM,1 Mar 2026 4:39 PM,GrabFood,Thanh toán ,,Đã thanh toán,2603011393tuVND00009000B5VIGKJGD,,,,00169545621-C73DL8NAWE2ANX,GF-461,A-9XRFOHMGWO5XAV,GrabFood app & web,,Tiền mặt,,,,,,,,SVNG3OSJIME7,2 Mar 2026 6:36 AM,39000,0,0,,,,0,0,,0,0,39000,,,,0,0,-9570,,0,0,0,0,-1170,-585,27675,,,,,-709,0,,,,,,,,,
XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,7518bef0-1b9c-4c38-aa42-7efc976edd01,XÓM GÀ Ủ MUỐI POPPY VĂN PHÚ VICTORIA HÀ ĐÔNG,4e6ab81a-6344-455a-9c25-55614c9f743a,1 Mar 2026 10:44 AM,1 Mar 2026 10:11 AM,GrabFood,Thanh toán ,,Đã thanh toán,2603011393tuVND000060008NXHAKJXP,,,,001496454717-C73DGUXUNANXVA,GF-571,A-9XQC7BVGX9E8AV,GrabFood app & web,,Tiền mặt,,,,,,,,SVNG3OSJIME7,2 Mar 2026 6:36 AM,108800,0,0,,,,0,0,,0,0,108800,,,,0,0,-26697,,0,0,0,0,-3264,-1632,77207,,,,,-1978,0,,,,,,,,,
